timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/05/04 18:18:03.489, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:03.491, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:18:03.491, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:04.493, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:04.494, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:04.496, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:04.497, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:18:04.498, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:05.499, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:05.503, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:05.504, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:05.505, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:18:05.506, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:06.508, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:06.509, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:06.511, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:06.512, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:18:06.513, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:07.514, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:07.516, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:07.518, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:07.519, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:18:07.520, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:08.521, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:08.523, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:08.525, 0 %, 0 %, 13 MiB, 81920 MiB
2026/05/04 18:18:08.526, 0 %, 0 %, 6 MiB, 4096 MiB
2026/05/04 18:18:08.527, 0 %, 0 %, 13 MiB, 81920 MiB
